,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
0,"<span class=""street-address"">5625 Lawton Loop E Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46216-1015</span>, <span class=""country-name"">USA</span>",La Hacienda Mexican Restaurant,1.0,4.3,False,True,True,restaurant,
1,"<span class=""street-address"">5625 Lawton Loop E Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46216-1015</span>, <span class=""country-name"">USA</span>",La Hacienda Mexican Restaurant,1.0,4.3,False,True,True,food,
2,"<span class=""street-address"">5625 Lawton Loop E Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46216-1015</span>, <span class=""country-name"">USA</span>",La Hacienda Mexican Restaurant,1.0,4.3,False,True,True,point_of_interest,
3,"<span class=""street-address"">5625 Lawton Loop E Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46216-1015</span>, <span class=""country-name"">USA</span>",La Hacienda Mexican Restaurant,1.0,4.3,False,True,True,establishment,
0,"<span class=""street-address"">140 Perry Rd</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Potro Mexican Restaurant Bar & Grill,1.0,4.4,False,True,True,restaurant,
1,"<span class=""street-address"">140 Perry Rd</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Potro Mexican Restaurant Bar & Grill,1.0,4.4,False,True,True,food,
2,"<span class=""street-address"">140 Perry Rd</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Potro Mexican Restaurant Bar & Grill,1.0,4.4,False,True,True,point_of_interest,
3,"<span class=""street-address"">140 Perry Rd</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Potro Mexican Restaurant Bar & Grill,1.0,4.4,False,True,True,establishment,
0,"<span class=""street-address"">912 N Morton St</span>, <span class=""locality"">Franklin</span>, <span class=""region"">IN</span> <span class=""postal-code"">46131</span>, <span class=""country-name"">USA</span>",La Cocina Mexican Restaurant,1.0,4.3,False,True,True,restaurant,
1,"<span class=""street-address"">912 N Morton St</span>, <span class=""locality"">Franklin</span>, <span class=""region"">IN</span> <span class=""postal-code"">46131</span>, <span class=""country-name"">USA</span>",La Cocina Mexican Restaurant,1.0,4.3,False,True,True,food,
2,"<span class=""street-address"">912 N Morton St</span>, <span class=""locality"">Franklin</span>, <span class=""region"">IN</span> <span class=""postal-code"">46131</span>, <span class=""country-name"">USA</span>",La Cocina Mexican Restaurant,1.0,4.3,False,True,True,point_of_interest,
